Age,Gender,TimeToAnswerSeconds
18,Male,5
19,Male,5
20,Male,5
21,Male,5
22,Male,5
23,Male,5
24,Male,5
25,Male,5
26,Male,5
27,Male,5
28,Male,5
29,Male,5
30,Male,5
31,Male,10
32,Male,10
33,Male,10
34,Male,10
35,Male,10
36,Male,10
37,Male,10
38,Male,10
39,Male,10
40,Male,5
41,Male,5
42,Male,5
43,Male,5
44,Male,5
45,Male,5
46,Male,5
47,Male,5
48,Male,5
49,Male,5
50,Male,7
51,Male,7
52,Male,7
53,Male,7
54,Male,7
55,Male,7
56,Male,7
57,Male,7
58,Male,7
59,Male,7
60,Male,12
61,Male,12
62,Male,12
63,Male,12
64,Male,12
65,Male,12
66,Male,12
67,Male,12
68,Male,12
69,Male,12
70,Male,12
71,Male,12
72,Male,12
73,Male,12
74,Male,12
75,Male,12
76,Male,12
77,Male,12
78,Male,12
79,Male,12
80,Male,12
18,Female,6
19,Female,6
20,Female,6
21,Female,6
22,Female,6
23,Female,6
24,Female,6
25,Female,5
26,Female,5
27,Female,5
28,Female,5
29,Female,5
30,Female,5
31,Female,8
32,Female,8
33,Female,8
34,Female,8
35,Female,8
36,Female,8
37,Female,8
38,Female,8
39,Female,8
40,Female,9
41,Female,9
42,Female,9
43,Female,9
44,Female,9
45,Female,9
46,Female,9
47,Female,9
48,Female,9
49,Female,9
50,Female,3
51,Female,3
52,Female,3
53,Female,3
54,Female,3
55,Female,3
56,Female,3
57,Female,3
58,Female,3
59,Female,3
60,Female,12
61,Female,12
62,Female,12
63,Female,12
64,Female,12
65,Female,12
66,Female,12
67,Female,12
68,Female,12
69,Female,12
70,Female,12
71,Female,12
72,Female,12
73,Female,12
74,Female,12
75,Female,12
76,Female,12
77,Female,12
78,Female,12
79,Female,12
80,Female,12
