temperature,Humidity,Fail
21,20,0
22,20,0
23,20,0
24,20,0
25,20,0
26,20,0
27,20,0
28,20,0
29,20,0
30,20,0
31,20,0
32,20,0
33,20,0
34,20,0
35,20,0
36,20,0
37,20,0
38,20,0
39,20,0
40,20,0
41,20,0
42,20,0
43,20,0
44,20,0
45,21,0
46,22,0
47,23,0
48,24,0
49,25,0
50,26,0
51,27,0
52,28,0
53,29,0
54,30,0
55,31,0
56,32,0
57,33,0
58,34,0
59,35,0
60,36,0
61,37,0
62,38,0
63,39,0
64,40,0
65,41,0
66,42,0
67,43,0
68,44,0
69,45,0
70,45,0
71,45,0
72,45,0
73,45,0
74,45,0
75,45,0
76,45,0
77,45,0
78,45,0
79,45,0
80,45,1
81,45,1
82,45,1
83,45,1
84,45,1
85,45,1
86,45,1
87,45,1
88,45,1
89,45,1
90,45,1
91,45,1
92,45,1
93,45,1
94,45,1
95,45,1
96,45,1
97,45,1
98,45,1
99,45,1
100,45,1
21,20,0
21,21,0
21,22,0
21,23,0
21,24,0
21,25,0
21,26,0
21,27,0
21,28,0
21,29,0
21,30,0
21,31,0
21,32,0
21,33,0
21,34,0
21,35,0
21,36,0
21,37,0
21,38,0
21,39,0
21,40,0
21,41,0
21,42,0
21,43,0
21,44,0
21,45,0
21,46,0
21,47,0
21,48,0
21,49,0
21,50,0
21,51,0
21,52,0
21,53,0
21,54,0
21,55,0
21,56,0
21,57,0
21,58,0
21,59,0
21,60,0
21,61,0
21,62,0
21,63,0
21,64,0
21,65,0
21,66,0
21,67,0
21,68,0
21,69,0
21,70,1
21,71,1
21,72,1
21,73,1
21,74,1
21,75,1
21,76,1
21,77,1
21,78,1
21,79,1
21,80,1
21,81,1
21,82,1
21,83,1
21,84,1
21,85,1
21,86,1
21,87,1
21,88,1
21,89,1
21,90,1
21,91,1
21,92,1
21,93,1
21,94,1
21,95,1
21,96,1
21,97,1
21,98,1
21,99,1
21,100,1
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,50,0
51,51,0
52,52,0
53,53,0
54,54,0
55,55,0
56,56,0
57,57,0
58,58,0
59,59,0
60,60,0
61,61,0
62,62,0
63,63,0
64,64,0
65,65,0
66,66,0
67,67,0
68,68,0
69,69,0
70,70,1
71,71,0
72,72,0
73,73,0
74,74,1
75,75,1
76,76,1
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,90,1
91,91,1
92,92,1
93,93,1
94,94,1
95,95,1
96,96,1
97,97,1
98,98,1
99,99,1
100,100,1
20,20,0
21,22,0
22,24,0
23,26,0
23,28,0
24,40,0
25,42,0
26,44,0
27,46,0
28,45,0
29,42,0
30,50,0
31,60,0
32,70,1
33,80,1
34,50,0
35,40,0
36,66,0
37,71,0
38,72,1
39,73,1
40,74,1
50,60,0
70,60,0
75,65,0
80,69,1
85,45,1
90,50,1
20,60,0
20,69,0
20,70,1
20,80,1
35,82,1
40,69,0
50,69,0
60,70,1
63,63,0
65,65,0
100,0,1
0,70,1
80,1,1
1,76,1
5,62,0
8,87,1
13,65,0
45,23,0
22,74,1
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,50,0
51,51,0
52,52,0
53,53,0
54,54,0
55,55,0
56,56,0
57,57,0
58,58,0
59,59,0
60,60,0
61,61,0
62,62,0
63,63,0
64,64,0
65,65,0
66,66,0
67,67,0
68,68,0
69,69,0
70,70,1
71,71,1
72,72,1
73,73,1
74,74,1
75,75,1
76,76,1
77,77,1
78,78,1
79,79,1
80,80,1
81,81,1
82,82,1
83,83,1
84,84,1
85,85,1
86,86,1
87,87,1
88,88,1
89,89,1
90,90,1
91,91,1
92,92,1
93,93,1
94,94,1
95,95,1
96,96,1
97,97,1
98,98,1
99,99,1
100,100,1
